client_id,timestamp,url
19155437,2022-07-13 10:37:45,2310881
19155437,2022-08-11 18:13:20,952215
15175374,2022-07-25 09:47:10,5409374
15175374,2022-10-06 07:57:55,3036169
15175374,2022-10-06 07:58:55,3036169
18080713,2022-08-06 15:17:25,1523342
18080713,2022-08-06 15:19:40,1763078
18080713,2022-08-07 11:44:40,2745950
14554694,2022-09-05 12:35:10,7675905
14554694,2022-09-07 20:13:59,3372978
14554694,2022-10-15 20:06:30,14844027
14554694,2022-10-15 20:06:40,8509651
14554694,2022-10-15 20:06:40,8509651
14554694,2022-10-15 20:07:05,9731958
14554694,2022-10-15 20:07:05,9731958
8081030,2022-07-10 18:22:10,4032991
8081030,2022-07-10 18:23:25,4032991
8081030,2022-07-10 18:23:50,4032991
8081030,2022-07-10 18:23:55,4978214
8081030,2022-07-10 18:24:05,4032991
8081030,2022-07-21 12:53:45,3757170
8081030,2022-07-21 12:55:45,3811781
8081030,2022-08-03 15:12:55,8859656
8081030,2022-08-03 15:14:10,7124468
8081030,2022-08-03 15:14:40,8859656
8081030,2022-08-10 07:39:25,12249573
8081030,2022-08-14 20:36:55,12732903
8081030,2022-08-15 19:44:50,3756177
8081030,2022-08-21 10:15:35,3904075
8081030,2022-08-21 13:14:05,7651209
8081030,2022-08-25 16:48:15,12878692
8081030,2022-08-25 16:57:10,7651209
8081030,2022-09-01 16:39:45,3757170
8081030,2022-09-06 17:51:45,4245505
8081030,2022-09-06 17:53:50,16340031
8081030,2022-09-06 19:18:10,613240
8081030,2022-09-19 17:42:25,3733398
8081030,2022-09-26 19:01:40,5906889
8081030,2022-09-26 19:06:05,7840116
8081030,2022-10-22 18:02:05,6127523
8081030,2022-10-26 18:28:20,14086771
8081030,2022-10-26 18:28:35,14086771
8081030,2022-10-26 18:28:50,14086771
8081030,2022-11-17 21:06:20,3713204
22197434,2022-11-06 14:55:10,7806269
22197434,2022-11-06 14:55:25,13351723
22197434,2022-11-06 14:57:45,7806269
22197434,2022-11-25 14:48:25,1078138
4480154,2022-09-09 21:31:05,11134860
4480154,2022-11-03 10:00:00,2592204
4480154,2022-12-06 06:34:30,8139388
4480154,2022-12-06 06:35:20,1523342
4480154,2022-12-06 06:35:30,2257144
4480154,2022-12-06 06:35:40,1523342
4480154,2022-12-06 06:37:15,10421702
4480154,2022-12-06 06:37:45,1523342
4480154,2022-12-06 06:37:45,1523342
4480154,2022-12-06 06:38:25,8946450
4480154,2022-12-06 10:28:25,8946450
14656135,2022-08-20 16:22:00,7462122
14656135,2022-08-20 16:22:20,761798
14656135,2022-08-20 16:22:25,7462122
14656135,2022-08-20 16:22:25,7462122
14656135,2022-10-02 14:53:40,5442336
14656135,2022-10-02 14:53:40,7462122
14656135,2022-10-02 14:53:40,7462122
22434705,2022-08-01 10:44:10,11463768
22434705,2022-08-01 10:45:15,11463768
22434705,2022-08-01 10:45:25,11463768
6443534,2022-08-12 10:00:20,3764796
6443534,2022-08-24 13:23:35,11679120
2971860,2022-07-21 18:08:00,14844027
2971860,2022-07-21 18:08:00,10414419
2971860,2022-07-21 18:08:05,8650603
5893576,2022-06-25 08:07:00,11479497
5893576,2022-10-12 07:08:45,15188314
5893576,2022-10-12 19:26:25,15188314
5893576,2022-10-12 19:40:15,13683281
5893576,2022-10-12 19:40:40,7781859
5893576,2022-10-12 19:53:35,11423244
5893576,2022-10-12 19:54:50,15188314
5893576,2022-10-12 19:55:10,11423244
5893576,2022-10-12 19:57:10,15188314
5893576,2022-10-12 20:04:40,13683281
5893576,2022-10-12 20:05:20,16334293
5893576,2022-10-12 20:09:05,7545196
5893576,2022-10-12 20:12:20,10261363
5893576,2022-10-12 20:18:00,11876606
5893576,2022-10-12 20:18:50,8930679
5893576,2022-10-12 20:20:10,3816772
5893576,2022-10-12 20:20:15,10261363
2406455,2022-07-12 06:14:30,12738260
2406455,2022-07-12 06:14:35,8129940
2406455,2022-07-12 06:14:35,10058273
2406455,2022-07-12 06:14:50,10058273
2406455,2022-07-12 06:14:50,10058273
2406455,2022-07-12 06:15:30,7101409
10551361,2022-09-21 23:01:25,1523342
10551361,2022-09-21 23:02:05,9859312
10551361,2022-09-21 23:04:55,1523342
